Word: a, count: 8
Word: aback, count: 5
Word: abandon, count: 4
Word: abate, count: 1
Word: abduct, count: 1
Word: abide, count: 3
Word: able, count: 2
Word: abnormal, count: 1
Word: aboard, count: 3
Word: abolish, count: 3
Word: abort, count: 2
Word: abound, count: 1
Word: about, count: 17
Word: abroad, count: 4
Word: abrupt, count: 3
Word: absent, count: 4
Word: absorb, count: 4
Word: abundant, count: 1
Word: abuse, count: 7
Word: accelerate, count: 2
Word: accept, count: 3
Word: accessory, count: 2
Word: accident, count: 2
Word: acclaim, count: 1
Word: accommodate, count: 1
Word: accompany, count: 1
Word: accomplish, count: 3
Word: according, count: 1
Word: account, count: 11
Word: accurate, count: 5
Word: accuse, count: 4
Word: accustom, count: 4
Word: achieve, count: 3
Word: acid, count: 3
Word: acknowledge, count: 2
Word: acquaint, count: 2
Word: acquire, count: 3
Word: acquit, count: 4
Word: across, count: 7
Word: act, count: 3
Word: acute, count: 4
Word: adamant, count: 1
Word: add, count: 5
Word: addict, count: 3
Word: addition, count: 1
Word: adhere, count: 1
Word: adjacent, count: 1
Word: adjective, count: 4
Word: adjust, count: 2
Word: admit, count: 3
Word: adolescent, count: 1
Word: adopt, count: 4
Word: adore, count: 1
Word: adorn, count: 1
Word: adult, count: 1
Word: adultery, count: 3
Word: advance, count: 3
Word: advantage, count: 5
Word: adventure, count: 1
Word: adverb, count: 1
Word: adverse, count: 1
Word: advertise, count: 3
Word: advise, count: 2
Word: advocate, count: 2
Word: aerial, count: 2
Word: affair, count: 1
Word: affect, count: 1
Word: affection, count: 3
Word: affiliate, count: 3
Word: affirm, count: 2
Word: afflict, count: 4
Word: affluent, count: 2
Word: afford, count: 1
Word: after, count: 13
Word: aftermath, count: 1
Word: against, count: 2
Word: age, count: 3
Word: agenda, count: 1
Word: aggravate, count: 1
Word: aggregate, count: 2
Word: agile, count: 3
Word: agitate, count: 2
Word: ago, count: 1
Word: agree, count: 3
Word: agreement, count: 4
Word: agriculture, count: 5
Word: ahead, count: 11
Word: aid, count: 1
Word: ailment, count: 1
Word: aim, count: 1
Word: air, count: 5
Word: airborne, count: 4
Word: aircraft, count: 3
Word: airline, count: 1
Word: akin, count: 2
Word: alarm, count: 5
Word: alas, count: 2
Word: albeit, count: 5
Word: alert, count: 2
Word: alien, count: 5
Word: alienate, count: 5
Word: align, count: 3
Word: alike, count: 5
Word: all, count: 8
Word: allege, count: 1
Word: allegiance, count: 4
Word: allocate, count: 4
Word: allot, count: 3
Word: allow, count: 4
Word: allowance, count: 3
Word: allude, count: 3
Word: allure, count: 4
Word: ally, count: 2
Word: almost, count: 2
Word: alone, count: 1
Word: along, count: 12
Word: alongside, count: 2
Word: aloud, count: 1
Word: alter, count: 1
Word: although, count: 6
Word: altitude, count: 3
Word: altogether, count: 3
Word: amateur, count: 1
Word: amaze, count: 1
Word: ambassador, count: 2
Word: amber, count: 1
Word: ambiguous, count: 5
Word: ambulance, count: 1
Word: ambush, count: 1
Word: amenity, count: 4
Word: amid, count: 2
Word: amidst, count: 2
Word: amount, count: 5
Word: ample, count: 3
Word: amuse, count: 1
Word: ancestor, count: 5
Word: ancient, count: 4
Word: anger, count: 7
Word: angle, count: 3
Word: angry, count: 1
Word: anguish, count: 3
Word: animate, count: 4
Word: ankle, count: 3
Word: anniversary, count: 1
Word: announce, count: 1
Word: annoy, count: 2
Word: ant, count: 3
Word: anthem, count: 2
Word: anticipate, count: 2
Word: antique, count: 1
Word: anxiety, count: 3
Word: anymore, count: 2
Word: anytime, count: 3
Word: anyway, count: 3
Word: apart, count: 10
Word: apartment, count: 3
Word: ape, count: 1
Word: apiece, count: 2
Word: apology, count: 2
Word: appal, count: 3
Word: apparent, count: 5
Word: appear, count: 2
Word: appliance, count: 7
Word: apply, count: 1
Word: appoint, count: 2
Word: appraise, count: 1
Word: appreciate, count: 1
Word: apprentice, count: 4
Word: appropriate, count: 6
Word: approximate, count: 2
Word: apron, count: 1
Word: apt, count: 2
Word: aquatic, count: 2
Word: arbitrary, count: 2
Word: arc, count: 4
Word: arch, count: 1
Word: archive, count: 1
Word: area, count: 1
Word: arise, count: 3
Word: arisen, count: 3
Word: arm, count: 3
Word: armor, count: 3
Word: armour, count: 3
Word: arms, count: 4
Word: arose, count: 3
Word: around, count: 26
Word: arouse, count: 3
Word: arrange, count: 3
Word: array, count: 2
Word: arrive, count: 4
Word: arrow, count: 2
Word: arson, count: 2
Word: article, count: 2
Word: as, count: 5
Word: ascend, count: 2
Word: ascertain, count: 1
Word: ash, count: 2
Word: ashamed, count: 3
Word: ashtray, count: 3
Word: aside, count: 7
Word: ask, count: 2
Word: asleep, count: 6
Word: aspire, count: 2
Word: ass, count: 3
Word: assassin, count: 4
Word: assault, count: 1
Word: assemble, count: 2
Word: assert, count: 2
Word: assess, count: 3
Word: asset, count: 2
Word: assign, count: 4
Word: assimilate, count: 2
Word: assist, count: 2
Word: associate, count: 2
Word: assume, count: 6
Word: assure, count: 2
Word: astonish, count: 1
Word: astound, count: 2
Word: asylum, count: 1
Word: at, count: 19
Word: atop, count: 1
Word: atrocity, count: 1
Word: attach, count: 2
Word: attack, count: 2
Word: attain, count: 3
Word: attempt, count: 2
Word: attend, count: 1
Word: attic, count: 3
Word: attitude, count: 3
Word: attorney, count: 2
Word: attract, count: 2
Word: audible, count: 1
Word: audience, count: 3
Word: augment, count: 1
Word: aunt, count: 2
Word: authority, count: 4
Word: authorize, count: 2
Word: avalanche, count: 3
Word: average, count: 2
Word: avid, count: 4
Word: avoid, count: 3
Word: await, count: 1
Word: awake, count: 2
Word: award, count: 3
Word: aware, count: 3
Word: away, count: 21
Word: awesome, count: 1
Word: awful, count: 1
Word: awhile, count: 2
Word: awkward, count: 1
Word: ax, count: 1
Word: axe, count: 1
Word: axis, count: 3
Word: bachelor, count: 2
Word: back, count: 36
Word: backdrop, count: 2
Word: background, count: 3
Word: backpack, count: 5
Word: bad, count: 1
Word: badge, count: 1
Word: baffled, count: 2
Word: bag, count: 2
Word: bail, count: 4
Word: bait, count: 2
Word: bake, count: 3
Word: bald, count: 2
Word: bale, count: 4
Word: balloon, count: 4
Word: ballot, count: 2
Word: ban, count: 1
Word: band, count: 3
Word: bandage, count: 4
Word: bang, count: 2
Word: banish, count: 2
Word: bank, count: 10
Word: bankrupt, count: 1
Word: banner, count: 1
Word: baptize, count: 2
Word: bar, count: 2
Word: barber, count: 1
Word: bargain, count: 3
Word: bark, count: 2
Word: barn, count: 1
Word: barrel, count: 1
Word: barren, count: 3
Word: bartender, count: 1
Word: base, count: 2
Word: basement, count: 2
Word: bash, count: 1
Word: basket, count: 1
Word: bastard, count: 3
Word: bat, count: 6
Word: batch, count: 5
Word: bath, count: 1
Word: bathe, count: 4
Word: batter, count: 5
Word: bay, count: 2
Word: be, count: 26
Word: bead, count: 5
